cpu_name,cpu_cpu_mark_1,cpu_cpu_mark_2,cpu_cpu_mark_3,cpu_cpu_mark_4
Intel Core i9-11900H,239.5,2166.0,1628.0,9645.5
AMD Ryzen 9 5900HX,240.0,2095.5,1537.0,8251.0
Intel Core i7-12700H,257.5,2779.5,1761.0,13033.0
Apple M1 Pro 8-Core,210.0,1320.0,1769.0,9942.0
AMD Ryzen 7 3800XT,219.0,2230.0,1353.0,8948.0
AMD Ryzen 9 5900HS,236.5,2041.13,1497.0,7867.0
Intel Core i7-10700K,208.0,2027.0,1373.5,8925.0
Intel Core i9-9900K,212.0,1979.0,1300.0,8845.0
Intel Core i5-11600K,238.0,1744.0,1723.0,8429.5
AMD Ryzen 7 5800H,229.5,2009.0,1464.0,7734.0
Intel Core i9-7900X,192.74,2148.0,1172.0,11222.0
Intel Core i9-10980HK,206.0,1737.0,1347.5,8155.5
Intel Xeon W-10885M,210.0,1640.0,1340.0,8378.0
AMD Ryzen 5 5600H,223.0,1547.35,1395.5,6573.0
AMD Ryzen 7 PRO 5850U,227.0,1467.0,1436.0,6889.0
Intel Core i7-10875H,202.0,1594.5,1300.0,7799.0
Intel Core i7-10870H,200.0,1659.0,1282.5,7735.5
AMD Ryzen 5 5600G,228.0,1724.0,1506.0,8003.0
Intel Core i5-10600K,205.0,1452.0,1286.0,7248.0
Intel Core i7-8086K,206.0,1349.0,1240.0,5485.0
AMD Ryzen 7 2700X,175.67,1761.73,1177.0,7021.5
Intel Core i5-10400F,180.0,1332.0,1220.0,6365.0
Intel Core i7-6950X,155.5,1859.0,957.0,8888.0
Intel Core i7-9700,199.0,1254.0,1312.0,7060.0
Intel Xeon E-2276M,195.0,1242.5,1303.0,6595.0
Intel Xeon W-2145,177.0,1682.0,1192.0,9146.0
AMD Ryzen 7 4800U,182.0,1568.0,1154.0,5898.0
Intel Core i5-9600K,193.0,1094.0,1217.0,5855.0
Intel Core i7-9850H,193.0,1230.0,1150.0,5270.0
AMD Ryzen 7 2700,161.0,1551.0,1000.0,6560.0
AMD Ryzen 7 1700X,154.0,1537.0,932.0,6275.0
AMD Ryzen 5 4600H,177.0,1420.0,1116.5,6021.5
Intel Core i7-10850H,203.0,1232.0,1305.0,5753.0
Intel Xeon E-2176M,187.0,1095.0,,
Intel Core i7-11390H,239.0,1041.0,1619.5,5838.5
AMD Ryzen 7 PRO 4750U,181.0,1410.0,1149.0,6153.0
Intel Core i7-1195G7,221.0,945.5,1534.5,4725.0
Intel Core i7-1185G7,217.07,886.37,1533.0,5560.0
Intel Core i7-8850H,181.5,1090.0,1121.0,4908.0
Intel Core i7-7700K,192.5,938.5,,
Intel Core i7-8750H,173.0,1116.0,1050.0,4820.0
Intel Core i7-1165G7,218.0,850.0,1537.0,5187.0
Intel Core i7-10710U,176.0,1059.0,1227.0,5207.0
Intel Core i7-5960X,139.0,1387.0,,
AMD Ryzen 5 2600X,163.0,1341.0,1144.5,6094.0
AMD Ryzen 5 PRO 5650U,218.0,1207.0,1353.0,5736.0
AMD Ryzen 5 2600,157.28,1248.24,1118.5,6069.5
AMD Ryzen 5 4600U,175.5,1089.0,1105.0,5591.0
Intel Core i5-11320H,212.0,950.0,1453.0,5657.0
Intel Core i5-10400H,192.0,796.0,1245.0,4332.0
Intel Core i7-4960X,144.0,1076.0,,
Intel Core i7-6700K,177.5,880.0,,
Intel Core i5-1135G7,198.0,822.5,1384.0,4690.0
AMD Ryzen 5 4500U,174.0,892.0,1097.0,4632.0
Intel Core i7-4790K,174.0,846.0,,
AMD Ryzen 5 1600,147.0,1129.0,950.0,5424.5
Intel Core i7-6700,168.5,802.0,,
Intel Core i5-1038NG7,169.0,768.0,1265.0,4564.0
Intel Core i7-8706G,172.0,781.0,,
Intel Core i7-7920HQ,163.0,814.0,,
Intel Core i7-4790,158.5,765.0,,
Intel Core i7-7700T,155.0,714.0,,
Intel Core i7-8559U,188.0,798.0,723.0,3660.0
Intel Core i7-4790S,150.0,714.0,,
Intel Core i5-8300H,170.0,812.0,990.0,3270.0
AMD Ryzen 3 3300X,195.0,1071.0,1296.0,5311.0
Intel Core i5-9400F,173.0,984.0,1139.0,5715.0
Intel Core i3-10100,181.0,895.0,1187.5,4758.0
Intel Core i7-4940MX,157.0,708.0,,
Intel Core i7-7820HK,162.0,770.0,,
Intel Core i7-4930MX,150.0,736.0,,
AMD Ryzen 5 2400G,155.63,846.71,1001.0,3885.0
Intel Core i5-8305G,157.0,710.0,,
Intel Xeon E3-1505M v5,157.5,724.5,,
Intel Core i7-4980HQ,154.0,696.0,,
Intel Xeon E3-1231 v3,152.0,732.0,,
Intel Core i5-6600K,166.0,601.5,,
Intel Core i7-5700HQ,144.0,720.0,,
Intel Core i7-6820HQ,153.0,704.0,,
Intel Core i7-6700T,153.0,668.0,,
Intel Core i7-1160G7,200.5,816.14,1437.0,4917.0
AMD Ryzen 5 1400,133.76,688.0,831.0,3037.5
Intel Core i5-8257U,157.67,633.49,948.0,3858.0
Intel Core i7-10610U,178.0,604.5,1243.5,4123.5
Intel Core i7-6700HQ,144.0,676.0,,
Intel Core i7-4870HQ,143.0,621.0,,
Intel Core i5-1035G7,170.0,712.0,1163.0,2713.0
AMD Ryzen 7 3750H,144.0,734.0,874.0,3537.0
AMD Ryzen 7 PRO 3700U,149.0,658.0,808.0,3018.0
Intel Core i5-1035G1,167.5,606.0,1219.0,3858.0
Intel Core i7-8650U,169.0,605.0,,
Intel Core i7-4800MQ,142.0,663.0,,
Intel Core i7-4850HQ,133.0,578.0,,
Intel Core i7-4710MQ,135.0,645.0,,
Intel Core i7-4770HQ,132.0,635.0,,
Intel Core i5-7440HQ,158.0,554.0,,
Intel Core i7-3720QM,126.0,610.0,,
Intel Core i7-4700MQ,132.0,631.0,,
Intel Core i5-1140G7,179.0,630.0,1353.0,3921.0
Intel Core i5-4590,146.0,530.0,,
AMD Ryzen 7 2700U,143.5,644.0,813.0,2969.0
AMD Ryzen 3 2200G,145.55,576.84,1086.5,4881.5
AMD Ryzen 5 PRO 3500U,142.0,624.0,863.0,2824.0
AMD Ryzen 3 4300U,165.0,580.0,1027.0,3330.0
AMD Ryzen 5 3450U,137.5,566.5,837.5,2916.0
Intel Core i7-7567U,159.0,432.0,,
Intel Core i5-1030NG7,140.0,448.0,1088.5,2710.0
Intel Core i7-7660U,158.5,403.5,,
Intel Core i3-10110U,162.0,321.0,987.0,2025.5
Intel Core i7-7600U,161.0,344.0,,
Intel Core i7-4712MQ,130.0,597.0,,
Intel Core i7-4702HQ,127.0,501.0,,
Intel Core i7-2860QM,123.0,533.0,732.5,2832.5
Intel Core i5-7300HQ,142.0,513.0,,
Intel Core i5-4460,136.0,496.0,,
Intel Core i5-6300HQ,131.0,466.0,,
AMD Ryzen 3 1200,135.0,480.0,834.0,2882.0
Intel Core i5-4430,127.0,463.0,,
AMD Ryzen 5 2500U,137.0,609.0,831.0,2515.0
AMD Ryzen Embedded V1605B,128.0,654.0,819.0,3184.0
Intel Core i5-6400,134.0,510.0,,
Intel Core i5-6400T,119.0,420.0,,
Intel Core i7-6567U,143.59,359.5,970.0,2117.0
Intel Core i5-7360U,142.5,354.0,,
AMD Ryzen 3 PRO 3300U,126.0,481.0,,
Intel Core i7-7500U,144.0,340.0,,
Intel Core i3-8130U,139.0,338.0,,
Intel Core i3-1000NG4,141.0,333.0,1096.0,2028.0
Intel Core i7-5557U,140.0,353.0,,
Intel Core i7-4600M,132.0,310.0,,
Intel Core i5-4200H,129.5,323.5,,
Intel Core i5-5257U,124.0,316.0,,
Intel Core i5-4310M,128.5,326.0,,
Intel Core i7-6600U,141.0,321.0,,
Intel Core i7-6560U,132.0,314.0,,
Intel Core i5-4300M,126.5,313.5,,
Intel Core i7-6500U,128.0,316.0,,
Intel Core i7-5650U,112.0,296.0,,
Intel Core i5-4210M,122.0,305.5,,
AMD A10-7700K,83.0,285.0,,
Intel Core i5-4200M,118.0,297.0,,
Intel Core i5-6260U,117.0,298.0,,
Intel Core i5-3230M,105.0,258.0,,
Intel Core i7-4600U,124.0,248.0,,
Intel Core i5-L16G7,89.5,255.0,826.5,1633.5
Intel Core i5-6200U,115.0,289.0,,
Intel Core i3-6100H,108.0,292.0,,
Intel Core i5-5350U,116.0,277.0,,
Intel Core i7-8500Y,130.5,246.5,,
Intel Core i7-4550U,118.0,253.0,,
Intel Core i5-8210Y,129.5,269.5,,
Intel Core i5-4310U,110.0,263.0,,
Intel Core i7-3537U,104.0,247.0,,
AMD Ryzen 3 3250U,126.0,351.0,767.5,1753.0
AMD Ryzen 3 3200U,129.0,334.0,796.5,1651.5
AMD Athlon Gold 3150U,117.0,352.0,751.0,1847.0
Intel Core i5-5200U,108.0,259.0,,
Intel Core i5-4300U,108.0,253.0,,
Intel Core i5-7Y57,133.0,273.0,,
Intel Core i3-7100U,95.0,256.5,,
Intel Core i3-6100U,97.0,247.0,,
Intel Core m3-8100Y,96.6,179.5,845.5,1396.5
AMD FX-9800P,74.0,236.0,,
Intel Pentium Gold 4415U,94.0,239.5,,
Intel Core m3-7Y30,105.0,250.0,,
AMD A12-9720P,72.5,234.5,,
AMD FX-8800P,82.0,277.0,,
Intel Core i5-4210U,102.0,237.0,,
AMD A10-9620P,72.0,230.0,,
Intel Core i5-4200U,99.0,229.0,,
Intel Core i5-3337U,95.0,222.0,,
AMD A10-9600P,76.0,216.0,,
Intel Core i3-3110M,81.5,209.0,,
Intel Core i3-5010U,85.0,218.0,,
Intel Core i3-6006U,83.5,214.5,,
Intel Core i3-2350M,79.0,196.0,,
Intel Core m5-6Y54,103.0,222.5,,
AMD Pro A10-8700B,70.0,192.0,,
Intel Pentium Silver N6000,117.0,302.0,730.0,1897.0
Intel Celeron N5095,109.0,300.0,,
AMD Pro A8-8600B,69.0,181.0,,
Intel Pentium Silver N5000,78.0,236.5,421.0,1582.0
Intel Core i7-2637M,93.0,201.0,,
Intel Core i3-4158U,77.0,194.0,,
Intel Celeron J4005,77.0,144.0,,
Intel Core i5-4300Y,77.0,133.0,,
Intel Core i3-4030U,70.0,191.0,,
AMD A10-5745M,63.5,177.0,,
Intel Core m3-6Y30,85.5,204.0,,
Intel Core M-5Y51,84.0,152.0,,
AMD 3020e,92.0,196.0,638.0,1188.0
AMD FX-7500,55.0,153.0,,
Intel Core M-5Y31,98.0,208.0,,
Intel Core M-5Y10c,66.0,164.0,,
Intel Core M-5Y10,81.0,155.0,,
AMD A9-9420,81.0,134.0,,
AMD A6-6400K,88.0,149.0,,
Intel Core i5-4210Y,72.5,147.0,,
Intel Core i3-4010U,67.0,170.5,,
Intel Pentium Gold 4415Y,65.0,164.0,,
AMD A10-7300,58.0,158.0,,
AMD A8-7410,52.0,174.0,,
AMD A4-5300,67.0,107.0,,
Intel Celeron N4100,68.6,198.0,405.0,1271.0
Intel Core i3-4012Y,60.0,150.0,,
AMD A8-6410,49.0,165.0,,
AMD A6-6310,47.0,157.0,,
AMD A4-7210,46.0,157.0,,
AMD A6-9225,73.0,108.5,,
Intel Pentium 3556U,65.5,125.5,,
