name,gpu_mark_1,gpu_mark_2,gpu_mark_3,gpu_mark_4
NVIDIA RTX A3000 Laptop GPU,18725.5,25611.0,18725.5,
NVIDIA GeForce RTX 3060 Laptop GPU,20346.5,26722.0,20346.5,41960.5
NVIDIA Quadro RTX 5000 Max-Q,19790.0,26465.0,19790.0,40509.5
NVIDIA GeForce RTX 2070 Mobile,20392.0,26005.0,20392.0,42409.5
NVIDIA Quadro RTX 4000 (Laptop),18849.0,25370.5,18849.0,
NVIDIA GeForce RTX 2070 Super Max-Q,20872.5,27724.0,20872.5,43406.0
NVIDIA GeForce RTX 2070 Max-Q,17335.0,22089.0,17335.0,35284.0
NVIDIA Quadro P5200,18467.0,25100.0,18467.0,44390.0
NVIDIA GeForce RTX 2060 Mobile,16331.0,21261.5,16331.0,38509.0
NVIDIA GeForce GTX 1080 Max-Q,18191.5,23540.0,18191.5,31555.0
NVIDIA GeForce RTX 2060 Max-Q,14909.5,19778.5,14909.5,37332.0
NVIDIA RTX A2000 Laptop GPU,13298.5,17836.5,13298.5,36019.0
NVIDIA GeForce GTX 1660 Ti Mobile,14818.0,20118.5,14818.0,38153.5
NVIDIA GeForce GTX 1070 Max-Q,14678.5,18688.0,14678.5,30648.5
NVIDIA GeForce GTX 980M SLI,18632.0,22006.0,18632.0,26604.0
NVIDIA GeForce GTX 980 (Laptop),13047.0,17200.5,13047.0,32943.0
NVIDIA Quadro P4000,12259.0,15433.0,12259.0,29155.0
NVIDIA GeForce GTX 1650 Ti Mobile,9881.5,13266.0,9881.5,39720.0
AMD Radeon Pro 5500M,10399.0,14725.0,10399.0,34321.0
NVIDIA Quadro P3200,12554.5,16619.0,12554.5,29206.5
AMD Radeon RX 5300M,10306.0,14351.0,10306.0,36032.0
NVIDIA GeForce GTX 1650 Mobile,9313.0,13131.5,9313.0,34484.5
NVIDIA GeForce GTX 1650 Ti Max-Q,8564.0,11538.0,8564.0,30266.0
AMD Radeon RX 470 (Laptop),10715.0,,10715.0,
NVIDIA Quadro T1000 (Laptop),8727.0,11377.0,8727.0,35033.5
Intel Arc A350M,7318.0,,7318.0,
NVIDIA GeForce GTX 880M SLI,11817.0,15823.0,11817.0,
NVIDIA GeForce GTX 965M SLI,10207.0,14428.0,10207.0,
AMD Radeon HD 8970M Crossfire,10354.0,12424.0,10354.0,26430.0
AMD Radeon RX Vega M GH,10248.0,14302.0,10248.0,33046.0
AMD Radeon Pro Vega 20,9043.5,12289.0,9043.5,32864.0
NVIDIA Quadro P2000,6847.0,8387.0,6847.0,33795.0
NVIDIA Quadro M4000M,7723.0,10259.0,7723.0,
AMD Radeon 680M,6848.0,10856.0,6848.0,15792.0
NVIDIA GeForce GTX 860M SLI,5941.0,9840.0,5941.0,
NVIDIA GeForce GTX 1050 Ti Max-Q,7324.0,8752.0,7324.0,28797.0
